ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
4653,Please check the system.,IT,Beginner,"['software', 'system', 'reboot']",Imperative Sentences,Easy,Listening,Check the system.,What should you do with the system?,Check the system.,"['Ignore the system.', 'Do nothing with the system.']"
4654,You should clean the medication.,Healthcare,Beginner,"['medication', 'stored', 'nurse']",Modal Verbs,Easy,Reading,Clean the medication.,What is recommended to do with the medication?,Clean the medication.,"['Ignore the medication.', 'Use a different medication.']"
4655,software must be inspect.,IT,Advanced,"['system', 'software', 'hardware']",Passive Voice,Difficult,Reading,Inspect the software.,What must be done with the software?,Inspect the software.,"['Use a different software.', 'Do nothing with the software.']"
4656,"If it is damaged, secure the crop.",Agriculture,Advanced,"['harvest', 'yield', 'crop']",Conditional Sentences,Difficult,Reading,Secure the crop.,What happens if the it is damaged?,Secure the crop.,"['Do nothing with the crop.', 'Use a different crop.']"
4657,"If it is damaged, clean the system.",IT,Advanced,"['system', 'hardware', 'network']",Conditional Sentences,Difficult,Listening,Clean the system.,What happens if the it is damaged?,Clean the system.,"['Do nothing with the system.', 'Use a different system.']"
4658,"If it is damaged, secure the secured.",Construction,Beginner,"['equipment', 'secured', 'tools']",Conditional Sentences,Easy,Reading,Secure the secured.,What happens if the it is damaged?,Secure the secured.,"['Do nothing with the secured.', 'Ignore the secured.']"
4659,You should store the tools.,Construction,Intermediate,"['tools', 'harness', 'safety']",Modal Verbs,Moderate,Speaking,Store the tools.,What is recommended to do with the tools?,Store the tools.,"['Use a different tools.', 'Ignore the tools.']"
4660,the supervisor said to secure the clean.,Hospitality,Advanced,"['clean', 'hygiene', 'workstation']",Reported Speech,Difficult,Speaking,Secure the clean.,What did the supervisor say?,Secure the clean.,"['Ignore the clean.', 'Do nothing with the clean.']"
4661,Please clean the safety.,Construction,Beginner,"['tools', 'safety', 'equipment']",Imperative Sentences,Easy,Reading,Clean the safety.,What should you do with the safety?,Clean the safety.,"['Do nothing with the safety.', 'Use a different safety.']"
4662,"If it is damaged, store the crop.",Agriculture,Intermediate,"['crop', 'yield', 'harvest']",Conditional Sentences,Moderate,Reading,Store the crop.,What happens if the it is damaged?,Store the crop.,"['Use a different crop.', 'Ignore the crop.']"
4663,You should secure the system.,IT,Beginner,"['reboot', 'hardware', 'system']",Modal Verbs,Easy,Listening,Secure the system.,What is recommended to do with the system?,Secure the system.,"['Do nothing with the system.', 'Use a different system.']"
4664,You should check the soil.,Agriculture,Beginner,"['soil', 'harvest', 'crop']",Modal Verbs,Easy,Writing,Check the soil.,What is recommended to do with the soil?,Check the soil.,"['Use a different soil.', 'Do nothing with the soil.']"
4665,soil must be check.,Agriculture,Beginner,"['soil', 'yield', 'irrigation']",Passive Voice,Easy,Writing,Check the soil.,What must be done with the soil?,Check the soil.,"['Ignore the soil.', 'Use a different soil.']"
4666,irrigation must be clean.,Agriculture,Beginner,"['irrigation', 'soil', 'yield']",Passive Voice,Easy,Reading,Clean the irrigation.,What must be done with the irrigation?,Clean the irrigation.,"['Ignore the irrigation.', 'Use a different irrigation.']"
4667,the supervisor said to clean the checkout.,Retail,Advanced,"['checkout', 'sales', 'product']",Reported Speech,Difficult,Speaking,Clean the checkout.,What did the supervisor say?,Clean the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
4668,hardware must be secure.,IT,Intermediate,"['hardware', 'system', 'network']",Passive Voice,Moderate,Reading,Secure the hardware.,What must be done with the hardware?,Secure the hardware.,"['Do nothing with the hardware.', 'Use a different hardware.']"
4669,sales must be secure.,Retail,Beginner,"['inventory', 'product', 'sales']",Passive Voice,Easy,Writing,Secure the sales.,What must be done with the sales?,Secure the sales.,"['Use a different sales.', 'Do nothing with the sales.']"
4670,irrigation must be inspect.,Agriculture,Beginner,"['irrigation', 'harvest', 'crop']",Passive Voice,Easy,Reading,Inspect the irrigation.,What must be done with the irrigation?,Inspect the irrigation.,"['Ignore the irrigation.', 'Do nothing with the irrigation.']"
4671,You should inspect the soil.,Agriculture,Intermediate,"['soil', 'yield', 'harvest']",Modal Verbs,Moderate,Reading,Inspect the soil.,What is recommended to do with the soil?,Inspect the soil.,"['Ignore the soil.', 'Do nothing with the soil.']"
4672,system must be clean.,IT,Beginner,"['reboot', 'system', 'software']",Passive Voice,Easy,Listening,Clean the system.,What must be done with the system?,Clean the system.,"['Use a different system.', 'Do nothing with the system.']"
4673,You should check the medication.,Healthcare,Advanced,"['medication', 'stored', 'patient']",Modal Verbs,Difficult,Listening,Check the medication.,What is recommended to do with the medication?,Check the medication.,"['Use a different medication.', 'Ignore the medication.']"
4674,"If it is damaged, clean the yield.",Agriculture,Intermediate,"['crop', 'irrigation', 'yield']",Conditional Sentences,Moderate,Writing,Clean the yield.,What happens if the it is damaged?,Clean the yield.,"['Ignore the yield.', 'Do nothing with the yield.']"
4675,the supervisor said to check the inventory.,Retail,Intermediate,"['inventory', 'checkout', 'product']",Reported Speech,Moderate,Writing,Check the inventory.,What did the supervisor say?,Check the inventory.,"['Ignore the inventory.', 'Use a different inventory.']"
4676,"If it is damaged, clean the reboot.",IT,Intermediate,"['system', 'software', 'reboot']",Conditional Sentences,Moderate,Listening,Clean the reboot.,What happens if the it is damaged?,Clean the reboot.,"['Do nothing with the reboot.', 'Use a different reboot.']"
4677,shift must be inspect.,Hospitality,Advanced,"['clean', 'shift', 'service']",Passive Voice,Difficult,Speaking,Inspect the shift.,What must be done with the shift?,Inspect the shift.,"['Do nothing with the shift.', 'Ignore the shift.']"
4678,You should inspect the brakes.,Automotive,Advanced,"['oil', 'engine', 'brakes']",Modal Verbs,Difficult,Reading,Inspect the brakes.,What is recommended to do with the brakes?,Inspect the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
4679,medication must be store.,Healthcare,Intermediate,"['stored', 'medication', 'temperature']",Passive Voice,Moderate,Reading,Store the medication.,What must be done with the medication?,Store the medication.,"['Do nothing with the medication.', 'Ignore the medication.']"
4680,Please inspect the nurse.,Healthcare,Advanced,"['stored', 'medication', 'nurse']",Imperative Sentences,Difficult,Listening,Inspect the nurse.,What should you do with the nurse?,Inspect the nurse.,"['Do nothing with the nurse.', 'Use a different nurse.']"
4681,harvest must be secure.,Agriculture,Advanced,"['irrigation', 'yield', 'harvest']",Passive Voice,Difficult,Writing,Secure the harvest.,What must be done with the harvest?,Secure the harvest.,"['Use a different harvest.', 'Do nothing with the harvest.']"
4682,You should check the network.,IT,Beginner,"['reboot', 'network', 'hardware']",Modal Verbs,Easy,Listening,Check the network.,What is recommended to do with the network?,Check the network.,"['Ignore the network.', 'Do nothing with the network.']"
4683,safety must be clean.,Construction,Advanced,"['secured', 'safety', 'equipment']",Passive Voice,Difficult,Speaking,Clean the safety.,What must be done with the safety?,Clean the safety.,"['Use a different safety.', 'Ignore the safety.']"
4684,Please secure the software.,IT,Beginner,"['software', 'network', 'hardware']",Imperative Sentences,Easy,Reading,Secure the software.,What should you do with the software?,Secure the software.,"['Do nothing with the software.', 'Ignore the software.']"
4685,You should secure the product.,Retail,Advanced,"['customer', 'inventory', 'product']",Modal Verbs,Difficult,Writing,Secure the product.,What is recommended to do with the product?,Secure the product.,"['Ignore the product.', 'Do nothing with the product.']"
4686,"If it is damaged, inspect the temperature.",Healthcare,Beginner,"['temperature', 'patient', 'medication']",Conditional Sentences,Easy,Reading,Inspect the temperature.,What happens if the it is damaged?,Inspect the temperature.,"['Ignore the temperature.', 'Use a different temperature.']"
4687,You should check the repair.,Automotive,Advanced,"['oil', 'repair', 'brakes']",Modal Verbs,Difficult,Listening,Check the repair.,What is recommended to do with the repair?,Check the repair.,"['Do nothing with the repair.', 'Use a different repair.']"
4688,the supervisor said to inspect the brakes.,Automotive,Advanced,"['brakes', 'engine', 'inspection']",Reported Speech,Difficult,Listening,Inspect the brakes.,What did the supervisor say?,Inspect the brakes.,"['Do nothing with the brakes.', 'Ignore the brakes.']"
4689,product must be inspect.,Retail,Intermediate,"['product', 'customer', 'inventory']",Passive Voice,Moderate,Speaking,Inspect the product.,What must be done with the product?,Inspect the product.,"['Ignore the product.', 'Use a different product.']"
4690,You should secure the secured.,Construction,Intermediate,"['tools', 'secured', 'harness']",Modal Verbs,Moderate,Speaking,Secure the secured.,What is recommended to do with the secured?,Secure the secured.,"['Use a different secured.', 'Do nothing with the secured.']"
4691,inventory must be clean.,Retail,Intermediate,"['inventory', 'product', 'checkout']",Passive Voice,Moderate,Writing,Clean the inventory.,What must be done with the inventory?,Clean the inventory.,"['Use a different inventory.', 'Ignore the inventory.']"
4692,Please secure the patient.,Healthcare,Advanced,"['medication', 'nurse', 'patient']",Imperative Sentences,Difficult,Reading,Secure the patient.,What should you do with the patient?,Secure the patient.,"['Ignore the patient.', 'Do nothing with the patient.']"
4693,"If it is damaged, secure the sales.",Retail,Intermediate,"['product', 'inventory', 'sales']",Conditional Sentences,Moderate,Speaking,Secure the sales.,What happens if the it is damaged?,Secure the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
4694,Please store the product.,Retail,Beginner,"['checkout', 'product', 'customer']",Imperative Sentences,Easy,Speaking,Store the product.,What should you do with the product?,Store the product.,"['Do nothing with the product.', 'Use a different product.']"
4695,the supervisor said to check the shift.,Hospitality,Advanced,"['clean', 'shift', 'service']",Reported Speech,Difficult,Speaking,Check the shift.,What did the supervisor say?,Check the shift.,"['Use a different shift.', 'Ignore the shift.']"
4696,"If it is damaged, secure the software.",IT,Beginner,"['system', 'reboot', 'software']",Conditional Sentences,Easy,Reading,Secure the software.,What happens if the it is damaged?,Secure the software.,"['Do nothing with the software.', 'Ignore the software.']"
4697,Please clean the crop.,Agriculture,Intermediate,"['irrigation', 'crop', 'harvest']",Imperative Sentences,Moderate,Reading,Clean the crop.,What should you do with the crop?,Clean the crop.,"['Use a different crop.', 'Do nothing with the crop.']"
4698,the supervisor said to check the harvest.,Agriculture,Beginner,"['crop', 'harvest', 'soil']",Reported Speech,Easy,Reading,Check the harvest.,What did the supervisor say?,Check the harvest.,"['Use a different harvest.', 'Do nothing with the harvest.']"
4699,Please store the soil.,Agriculture,Beginner,"['harvest', 'irrigation', 'soil']",Imperative Sentences,Easy,Writing,Store the soil.,What should you do with the soil?,Store the soil.,"['Ignore the soil.', 'Use a different soil.']"
4700,the supervisor said to inspect the system.,IT,Beginner,"['hardware', 'reboot', 'system']",Reported Speech,Easy,Reading,Inspect the system.,What did the supervisor say?,Inspect the system.,"['Ignore the system.', 'Do nothing with the system.']"
4701,engine must be check.,Automotive,Beginner,"['engine', 'inspection', 'repair']",Passive Voice,Easy,Listening,Check the engine.,What must be done with the engine?,Check the engine.,"['Do nothing with the engine.', 'Ignore the engine.']"
4702,Please clean the harvest.,Agriculture,Intermediate,"['irrigation', 'yield', 'harvest']",Imperative Sentences,Moderate,Reading,Clean the harvest.,What should you do with the harvest?,Clean the harvest.,"['Do nothing with the harvest.', 'Use a different harvest.']"
4703,the supervisor said to inspect the clean.,Hospitality,Intermediate,"['shift', 'service', 'clean']",Reported Speech,Moderate,Speaking,Inspect the clean.,What did the supervisor say?,Inspect the clean.,"['Do nothing with the clean.', 'Ignore the clean.']"
4704,You should clean the sales.,Retail,Intermediate,"['sales', 'customer', 'inventory']",Modal Verbs,Moderate,Writing,Clean the sales.,What is recommended to do with the sales?,Clean the sales.,"['Do nothing with the sales.', 'Use a different sales.']"
4705,the supervisor said to inspect the checkout.,Retail,Intermediate,"['checkout', 'sales', 'customer']",Reported Speech,Moderate,Writing,Inspect the checkout.,What did the supervisor say?,Inspect the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
4706,checkout must be inspect.,Retail,Beginner,"['sales', 'checkout', 'inventory']",Passive Voice,Easy,Writing,Inspect the checkout.,What must be done with the checkout?,Inspect the checkout.,"['Use a different checkout.', 'Ignore the checkout.']"
4707,You should inspect the irrigation.,Agriculture,Intermediate,"['crop', 'irrigation', 'yield']",Modal Verbs,Moderate,Reading,Inspect the irrigation.,What is recommended to do with the irrigation?,Inspect the irrigation.,"['Use a different irrigation.', 'Do nothing with the irrigation.']"
4708,the supervisor said to check the oil.,Automotive,Beginner,"['brakes', 'oil', 'engine']",Reported Speech,Easy,Listening,Check the oil.,What did the supervisor say?,Check the oil.,"['Use a different oil.', 'Ignore the oil.']"
4709,the supervisor said to store the inspection.,Automotive,Beginner,"['inspection', 'brakes', 'repair']",Reported Speech,Easy,Reading,Store the inspection.,What did the supervisor say?,Store the inspection.,"['Ignore the inspection.', 'Use a different inspection.']"
4710,"If it is damaged, secure the customer.",Retail,Intermediate,"['sales', 'inventory', 'customer']",Conditional Sentences,Moderate,Speaking,Secure the customer.,What happens if the it is damaged?,Secure the customer.,"['Do nothing with the customer.', 'Use a different customer.']"
4711,"If it is damaged, check the harness.",Construction,Beginner,"['harness', 'safety', 'secured']",Conditional Sentences,Easy,Speaking,Check the harness.,What happens if the it is damaged?,Check the harness.,"['Ignore the harness.', 'Use a different harness.']"
4712,You should inspect the tools.,Construction,Beginner,"['tools', 'safety', 'equipment']",Modal Verbs,Easy,Speaking,Inspect the tools.,What is recommended to do with the tools?,Inspect the tools.,"['Use a different tools.', 'Do nothing with the tools.']"
4713,Please check the safety.,Construction,Intermediate,"['equipment', 'harness', 'safety']",Imperative Sentences,Moderate,Reading,Check the safety.,What should you do with the safety?,Check the safety.,"['Ignore the safety.', 'Do nothing with the safety.']"
4714,"If it is damaged, store the sales.",Retail,Beginner,"['sales', 'customer', 'product']",Conditional Sentences,Easy,Writing,Store the sales.,What happens if the it is damaged?,Store the sales.,"['Ignore the sales.', 'Use a different sales.']"
4715,Please clean the medication.,Healthcare,Advanced,"['stored', 'medication', 'temperature']",Imperative Sentences,Difficult,Reading,Clean the medication.,What should you do with the medication?,Clean the medication.,"['Ignore the medication.', 'Do nothing with the medication.']"
4716,harness must be inspect.,Construction,Beginner,"['equipment', 'harness', 'safety']",Passive Voice,Easy,Speaking,Inspect the harness.,What must be done with the harness?,Inspect the harness.,"['Use a different harness.', 'Do nothing with the harness.']"
4717,You should store the reboot.,IT,Intermediate,"['software', 'reboot', 'hardware']",Modal Verbs,Moderate,Reading,Store the reboot.,What is recommended to do with the reboot?,Store the reboot.,"['Ignore the reboot.', 'Do nothing with the reboot.']"
4718,You should store the inventory.,Retail,Beginner,"['inventory', 'checkout', 'product']",Modal Verbs,Easy,Writing,Store the inventory.,What is recommended to do with the inventory?,Store the inventory.,"['Do nothing with the inventory.', 'Use a different inventory.']"
4719,Please store the repair.,Automotive,Intermediate,"['oil', 'brakes', 'repair']",Imperative Sentences,Moderate,Reading,Store the repair.,What should you do with the repair?,Store the repair.,"['Use a different repair.', 'Ignore the repair.']"
4720,Please inspect the harness.,Construction,Beginner,"['tools', 'secured', 'harness']",Imperative Sentences,Easy,Reading,Inspect the harness.,What should you do with the harness?,Inspect the harness.,"['Do nothing with the harness.', 'Ignore the harness.']"
4721,software must be check.,IT,Intermediate,"['network', 'software', 'system']",Passive Voice,Moderate,Listening,Check the software.,What must be done with the software?,Check the software.,"['Ignore the software.', 'Do nothing with the software.']"
4722,nurse must be secure.,Healthcare,Intermediate,"['patient', 'nurse', 'stored']",Passive Voice,Moderate,Listening,Secure the nurse.,What must be done with the nurse?,Secure the nurse.,"['Ignore the nurse.', 'Do nothing with the nurse.']"
4723,You should inspect the checkout.,Retail,Advanced,"['inventory', 'customer', 'checkout']",Modal Verbs,Difficult,Speaking,Inspect the checkout.,What is recommended to do with the checkout?,Inspect the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
4724,You should check the temperature.,Healthcare,Advanced,"['patient', 'temperature', 'stored']",Modal Verbs,Difficult,Reading,Check the temperature.,What is recommended to do with the temperature?,Check the temperature.,"['Ignore the temperature.', 'Use a different temperature.']"
4725,Please clean the crop.,Agriculture,Advanced,"['yield', 'irrigation', 'crop']",Imperative Sentences,Difficult,Writing,Clean the crop.,What should you do with the crop?,Clean the crop.,"['Ignore the crop.', 'Use a different crop.']"
4726,"If it is damaged, clean the software.",IT,Advanced,"['reboot', 'system', 'software']",Conditional Sentences,Difficult,Reading,Clean the software.,What happens if the it is damaged?,Clean the software.,"['Ignore the software.', 'Use a different software.']"
4727,"If it is damaged, secure the checkout.",Retail,Beginner,"['checkout', 'product', 'inventory']",Conditional Sentences,Easy,Speaking,Secure the checkout.,What happens if the it is damaged?,Secure the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
4728,tools must be check.,Construction,Advanced,"['harness', 'safety', 'tools']",Passive Voice,Difficult,Speaking,Check the tools.,What must be done with the tools?,Check the tools.,"['Use a different tools.', 'Ignore the tools.']"
4729,secured must be clean.,Construction,Beginner,"['tools', 'equipment', 'secured']",Passive Voice,Easy,Reading,Clean the secured.,What must be done with the secured?,Clean the secured.,"['Use a different secured.', 'Do nothing with the secured.']"
4730,the supervisor said to secure the sales.,Retail,Beginner,"['checkout', 'sales', 'product']",Reported Speech,Easy,Speaking,Secure the sales.,What did the supervisor say?,Secure the sales.,"['Ignore the sales.', 'Use a different sales.']"
4731,"If it is damaged, clean the medication.",Healthcare,Intermediate,"['temperature', 'medication', 'nurse']",Conditional Sentences,Moderate,Reading,Clean the medication.,What happens if the it is damaged?,Clean the medication.,"['Use a different medication.', 'Do nothing with the medication.']"
4732,the supervisor said to store the checkout.,Retail,Advanced,"['inventory', 'sales', 'checkout']",Reported Speech,Difficult,Speaking,Store the checkout.,What did the supervisor say?,Store the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
4733,the supervisor said to inspect the patient.,Healthcare,Advanced,"['patient', 'temperature', 'nurse']",Reported Speech,Difficult,Listening,Inspect the patient.,What did the supervisor say?,Inspect the patient.,"['Do nothing with the patient.', 'Use a different patient.']"
4734,irrigation must be inspect.,Agriculture,Advanced,"['yield', 'irrigation', 'soil']",Passive Voice,Difficult,Writing,Inspect the irrigation.,What must be done with the irrigation?,Inspect the irrigation.,"['Use a different irrigation.', 'Do nothing with the irrigation.']"
4735,the supervisor said to check the stored.,Healthcare,Beginner,"['patient', 'medication', 'stored']",Reported Speech,Easy,Listening,Check the stored.,What did the supervisor say?,Check the stored.,"['Do nothing with the stored.', 'Ignore the stored.']"
4736,yield must be clean.,Agriculture,Intermediate,"['harvest', 'yield', 'soil']",Passive Voice,Moderate,Reading,Clean the yield.,What must be done with the yield?,Clean the yield.,"['Ignore the yield.', 'Do nothing with the yield.']"
4737,"If it is damaged, check the safety.",Construction,Advanced,"['tools', 'safety', 'harness']",Conditional Sentences,Difficult,Reading,Check the safety.,What happens if the it is damaged?,Check the safety.,"['Use a different safety.', 'Do nothing with the safety.']"
4738,"If it is damaged, store the inventory.",Retail,Advanced,"['sales', 'customer', 'inventory']",Conditional Sentences,Difficult,Speaking,Store the inventory.,What happens if the it is damaged?,Store the inventory.,"['Ignore the inventory.', 'Use a different inventory.']"
4739,Please secure the sales.,Retail,Beginner,"['sales', 'checkout', 'product']",Imperative Sentences,Easy,Writing,Secure the sales.,What should you do with the sales?,Secure the sales.,"['Ignore the sales.', 'Do nothing with the sales.']"
4740,You should store the service.,Hospitality,Advanced,"['service', 'hygiene', 'shift']",Modal Verbs,Difficult,Writing,Store the service.,What is recommended to do with the service?,Store the service.,"['Ignore the service.', 'Use a different service.']"
4741,"If it is damaged, inspect the reboot.",IT,Beginner,"['reboot', 'system', 'network']",Conditional Sentences,Easy,Reading,Inspect the reboot.,What happens if the it is damaged?,Inspect the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
4742,Please inspect the customer.,Retail,Beginner,"['customer', 'product', 'checkout']",Imperative Sentences,Easy,Writing,Inspect the customer.,What should you do with the customer?,Inspect the customer.,"['Use a different customer.', 'Do nothing with the customer.']"
4743,You should clean the workstation.,Hospitality,Beginner,"['workstation', 'hygiene', 'shift']",Modal Verbs,Easy,Speaking,Clean the workstation.,What is recommended to do with the workstation?,Clean the workstation.,"['Do nothing with the workstation.', 'Use a different workstation.']"
4744,"If it is damaged, clean the crop.",Agriculture,Intermediate,"['soil', 'yield', 'crop']",Conditional Sentences,Moderate,Reading,Clean the crop.,What happens if the it is damaged?,Clean the crop.,"['Do nothing with the crop.', 'Use a different crop.']"
4745,"If it is damaged, check the medication.",Healthcare,Intermediate,"['medication', 'temperature', 'stored']",Conditional Sentences,Moderate,Listening,Check the medication.,What happens if the it is damaged?,Check the medication.,"['Use a different medication.', 'Do nothing with the medication.']"
4746,"If it is damaged, check the safety.",Construction,Advanced,"['safety', 'secured', 'tools']",Conditional Sentences,Difficult,Speaking,Check the safety.,What happens if the it is damaged?,Check the safety.,"['Use a different safety.', 'Do nothing with the safety.']"
4747,"If it is damaged, inspect the nurse.",Healthcare,Intermediate,"['nurse', 'patient', 'temperature']",Conditional Sentences,Moderate,Reading,Inspect the nurse.,What happens if the it is damaged?,Inspect the nurse.,"['Ignore the nurse.', 'Do nothing with the nurse.']"
4748,clean must be check.,Hospitality,Beginner,"['clean', 'hygiene', 'shift']",Passive Voice,Easy,Writing,Check the clean.,What must be done with the clean?,Check the clean.,"['Do nothing with the clean.', 'Use a different clean.']"
4749,Please clean the stored.,Healthcare,Advanced,"['nurse', 'stored', 'patient']",Imperative Sentences,Difficult,Listening,Clean the stored.,What should you do with the stored?,Clean the stored.,"['Use a different stored.', 'Ignore the stored.']"
4750,inventory must be store.,Retail,Intermediate,"['inventory', 'checkout', 'customer']",Passive Voice,Moderate,Speaking,Store the inventory.,What must be done with the inventory?,Store the inventory.,"['Use a different inventory.', 'Ignore the inventory.']"
4751,the supervisor said to inspect the network.,IT,Advanced,"['network', 'software', 'system']",Reported Speech,Difficult,Reading,Inspect the network.,What did the supervisor say?,Inspect the network.,"['Ignore the network.', 'Do nothing with the network.']"
4752,You should check the checkout.,Retail,Beginner,"['product', 'checkout', 'customer']",Modal Verbs,Easy,Writing,Check the checkout.,What is recommended to do with the checkout?,Check the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
4753,"If it is damaged, secure the network.",IT,Advanced,"['system', 'software', 'network']",Conditional Sentences,Difficult,Reading,Secure the network.,What happens if the it is damaged?,Secure the network.,"['Do nothing with the network.', 'Use a different network.']"
4754,"If it is damaged, secure the network.",IT,Intermediate,"['system', 'reboot', 'network']",Conditional Sentences,Moderate,Reading,Secure the network.,What happens if the it is damaged?,Secure the network.,"['Ignore the network.', 'Do nothing with the network.']"
4755,You should inspect the medication.,Healthcare,Advanced,"['medication', 'temperature', 'patient']",Modal Verbs,Difficult,Listening,Inspect the medication.,What is recommended to do with the medication?,Inspect the medication.,"['Use a different medication.', 'Do nothing with the medication.']"
4756,"If it is damaged, store the reboot.",IT,Advanced,"['hardware', 'network', 'reboot']",Conditional Sentences,Difficult,Listening,Store the reboot.,What happens if the it is damaged?,Store the reboot.,"['Use a different reboot.', 'Ignore the reboot.']"
4757,You should secure the patient.,Healthcare,Intermediate,"['patient', 'stored', 'nurse']",Modal Verbs,Moderate,Reading,Secure the patient.,What is recommended to do with the patient?,Secure the patient.,"['Ignore the patient.', 'Use a different patient.']"
4758,"If it is damaged, clean the clean.",Hospitality,Beginner,"['service', 'clean', 'workstation']",Conditional Sentences,Easy,Speaking,Clean the clean.,What happens if the it is damaged?,Clean the clean.,"['Do nothing with the clean.', 'Use a different clean.']"
4759,You should store the stored.,Healthcare,Advanced,"['patient', 'medication', 'stored']",Modal Verbs,Difficult,Listening,Store the stored.,What is recommended to do with the stored?,Store the stored.,"['Use a different stored.', 'Do nothing with the stored.']"
4760,"If it is damaged, clean the brakes.",Automotive,Advanced,"['oil', 'inspection', 'brakes']",Conditional Sentences,Difficult,Listening,Clean the brakes.,What happens if the it is damaged?,Clean the brakes.,"['Do nothing with the brakes.', 'Use a different brakes.']"
4761,service must be inspect.,Hospitality,Advanced,"['hygiene', 'service', 'workstation']",Passive Voice,Difficult,Writing,Inspect the service.,What must be done with the service?,Inspect the service.,"['Ignore the service.', 'Do nothing with the service.']"
4762,You should store the patient.,Healthcare,Beginner,"['nurse', 'patient', 'stored']",Modal Verbs,Easy,Listening,Store the patient.,What is recommended to do with the patient?,Store the patient.,"['Use a different patient.', 'Do nothing with the patient.']"
4763,inspection must be store.,Automotive,Intermediate,"['inspection', 'brakes', 'repair']",Passive Voice,Moderate,Listening,Store the inspection.,What must be done with the inspection?,Store the inspection.,"['Ignore the inspection.', 'Use a different inspection.']"
4764,the supervisor said to clean the reboot.,IT,Advanced,"['network', 'hardware', 'reboot']",Reported Speech,Difficult,Listening,Clean the reboot.,What did the supervisor say?,Clean the reboot.,"['Ignore the reboot.', 'Do nothing with the reboot.']"
4765,"If it is damaged, inspect the medication.",Healthcare,Advanced,"['temperature', 'medication', 'patient']",Conditional Sentences,Difficult,Listening,Inspect the medication.,What happens if the it is damaged?,Inspect the medication.,"['Use a different medication.', 'Ignore the medication.']"
4766,the supervisor said to store the hygiene.,Hospitality,Advanced,"['shift', 'hygiene', 'service']",Reported Speech,Difficult,Writing,Store the hygiene.,What did the supervisor say?,Store the hygiene.,"['Use a different hygiene.', 'Ignore the hygiene.']"
4767,Please check the reboot.,IT,Beginner,"['reboot', 'hardware', 'system']",Imperative Sentences,Easy,Reading,Check the reboot.,What should you do with the reboot?,Check the reboot.,"['Use a different reboot.', 'Do nothing with the reboot.']"
4768,Please store the clean.,Hospitality,Advanced,"['clean', 'shift', 'workstation']",Imperative Sentences,Difficult,Speaking,Store the clean.,What should you do with the clean?,Store the clean.,"['Ignore the clean.', 'Do nothing with the clean.']"
4769,Please store the inventory.,Retail,Advanced,"['sales', 'inventory', 'customer']",Imperative Sentences,Difficult,Writing,Store the inventory.,What should you do with the inventory?,Store the inventory.,"['Ignore the inventory.', 'Do nothing with the inventory.']"
4770,clean must be clean.,Hospitality,Advanced,"['service', 'clean', 'hygiene']",Passive Voice,Difficult,Speaking,Clean the clean.,What must be done with the clean?,Clean the clean.,"['Ignore the clean.', 'Do nothing with the clean.']"
4771,You should inspect the software.,IT,Beginner,"['system', 'reboot', 'software']",Modal Verbs,Easy,Reading,Inspect the software.,What is recommended to do with the software?,Inspect the software.,"['Do nothing with the software.', 'Ignore the software.']"
4772,"If it is damaged, inspect the repair.",Automotive,Advanced,"['repair', 'brakes', 'oil']",Conditional Sentences,Difficult,Reading,Inspect the repair.,What happens if the it is damaged?,Inspect the repair.,"['Use a different repair.', 'Ignore the repair.']"
4773,hygiene must be store.,Hospitality,Intermediate,"['clean', 'shift', 'hygiene']",Passive Voice,Moderate,Speaking,Store the hygiene.,What must be done with the hygiene?,Store the hygiene.,"['Use a different hygiene.', 'Ignore the hygiene.']"
4774,"If it is damaged, check the patient.",Healthcare,Advanced,"['nurse', 'patient', 'medication']",Conditional Sentences,Difficult,Reading,Check the patient.,What happens if the it is damaged?,Check the patient.,"['Ignore the patient.', 'Use a different patient.']"
4775,Please store the soil.,Agriculture,Beginner,"['crop', 'irrigation', 'soil']",Imperative Sentences,Easy,Reading,Store the soil.,What should you do with the soil?,Store the soil.,"['Use a different soil.', 'Ignore the soil.']"
4776,"If it is damaged, store the clean.",Hospitality,Beginner,"['service', 'clean', 'shift']",Conditional Sentences,Easy,Writing,Store the clean.,What happens if the it is damaged?,Store the clean.,"['Use a different clean.', 'Ignore the clean.']"
4777,Please inspect the crop.,Agriculture,Beginner,"['yield', 'soil', 'crop']",Imperative Sentences,Easy,Reading,Inspect the crop.,What should you do with the crop?,Inspect the crop.,"['Ignore the crop.', 'Use a different crop.']"
4778,Please check the clean.,Hospitality,Advanced,"['clean', 'shift', 'workstation']",Imperative Sentences,Difficult,Writing,Check the clean.,What should you do with the clean?,Check the clean.,"['Ignore the clean.', 'Do nothing with the clean.']"
